"","GO.ID","Ancestor","Description"
"111","GO:0032689","GO:0031323","regulation of cellular metabolic process"
"112","GO:0032689","GO:0031324","negative regulation of cellular metabolic process"
"113","GO:0032689","GO:0031326","regulation of cellular biosynthetic process"
"114","GO:0032689","GO:0031327","negative regulation of cellular biosynthetic process"
"115","GO:0032689","GO:0032501","multicellular organismal process"
"116","GO:0032689","GO:0032609","type II interferon production"
"117","GO:0032689","GO:0032649","regulation of type II interferon production"
"118","GO:0032689","GO:0043170","macromolecule metabolic process"
"119","GO:0032689","GO:0044237","cellular metabolic process"
"120","GO:0032689","GO:0044249","cellular biosynthetic process"
"121","GO:0032689","GO:0048519","negative regulation of biological process"
"122","GO:0032689","GO:0048523","negative regulation of cellular process"
"123","GO:0032689","GO:0050789","regulation of biological process"
"124","GO:0032689","GO:0050794","regulation of cellular process"
"125","GO:0032689","GO:0051239","regulation of multicellular organismal process"
"126","GO:0032689","GO:0051241","negative regulation of multicellular organismal process"
"127","GO:0032689","GO:0060255","regulation of macromolecule metabolic process"
"128","GO:0032689","GO:0065007","biological regulation"
"129","GO:0032689","GO:0071704","organic substance metabolic process"
"130","GO:0032689","GO:1901576","organic substance biosynthetic process"
"131","GO:0032689","all","all"
"132","GO:0150052","GO:0007275","multicellular organism development"
"133","GO:0150052","GO:0007399","nervous system development"
"134","GO:0150052","GO:0007416","synapse assembly"
"135","GO:0150052","GO:0008150","biological_process"
"136","GO:0150052","GO:0009987","cellular process"
"137","GO:0150052","GO:0016043","cellular component organization"
"138","GO:0150052","GO:0022607","cellular component assembly"
"139","GO:0150052","GO:0032501","multicellular organismal process"
"140","GO:0150052","GO:0032502","developmental process"
"141","GO:0150052","GO:0034329","cell junction assembly"
"142","GO:0150052","GO:0034330","cell junction organization"
"143","GO:0150052","GO:0044085","cellular component biogenesis"
"144","GO:0150052","GO:0044087","regulation of cellular component biogenesis"
"145","GO:0150052","GO:0048731","system development"
"146","GO:0150052","GO:0048856","anatomical structure development"
"147","GO:0150052","GO:0050789","regulation of biological process"
"148","GO:0150052","GO:0050794","regulation of cellular process"
"149","GO:0150052","GO:0050803","regulation of synapse structure or activity"
"150","GO:0150052","GO:0050807","regulation of synapse organization"
"151","GO:0150052","GO:0050808","synapse organization"
"152","GO:0150052","GO:0051128","regulation of cellular component organization"
"153","GO:0150052","GO:0051963","regulation of synapse assembly"
"154","GO:0150052","GO:0065007","biological regulation"
"155","GO:0150052","GO:0065008","regulation of biological quality"
"156","GO:0150052","GO:0071840","cellular component organization or biogenesis"
"157","GO:0150052","GO:0099068","postsynapse assembly"
"158","GO:0150052","GO:0099173","postsynapse organization"
"159","GO:0150052","GO:0099175","regulation of postsynapse organization"
"160","GO:0150052","GO:1901888","regulation of cell junction assembly"
"161","GO:0150052","all","all"
"162","GO:0032480","GO:0001816","cytokine production"
"163","GO:0032480","GO:0001817","regulation of cytokine production"
"164","GO:0032480","GO:0001818","negative regulation of cytokine production"
"165","GO:0032480","GO:0008150","biological_process"
"166","GO:0032480","GO:0008152","metabolic process"
"167","GO:0032480","GO:0009058","biosynthetic process"
"168","GO:0032480","GO:0009059","macromolecule biosynthetic process"
"169","GO:0032480","GO:0009889","regulation of biosynthetic process"
"170","GO:0032480","GO:0009890","negative regulation of biosynthetic process"
"171","GO:0032480","GO:0009892","negative regulation of metabolic process"
"172","GO:0032480","GO:0009987","cellular process"
"173","GO:0032480","GO:0010467","gene expression"
"174","GO:0032480","GO:0010468","regulation of gene expression"
"175","GO:0032480","GO:0010556","regulation of macromolecule biosynthetic process"
"176","GO:0032480","GO:0010558","negative regulation of macromolecule biosynthetic process"
"177","GO:0032480","GO:0010605","negative regulation of macromolecule metabolic process"
"178","GO:0032480","GO:0010629","negative regulation of gene expression"
"179","GO:0032480","GO:0019222","regulation of metabolic process"
"180","GO:0032480","GO:0031323","regulation of cellular metabolic process"
"181","GO:0032480","GO:0031324","negative regulation of cellular metabolic process"
"182","GO:0032480","GO:0031326","regulation of cellular biosynthetic process"
"183","GO:0032480","GO:0031327","negative regulation of cellular biosynthetic process"
"184","GO:0032480","GO:0032479","regulation of type I interferon production"
"185","GO:0032480","GO:0032501","multicellular organismal process"
"186","GO:0032480","GO:0032606","type I interferon production"
"187","GO:0032480","GO:0043170","macromolecule metabolic process"
"188","GO:0032480","GO:0044237","cellular metabolic process"
"189","GO:0032480","GO:0044249","cellular biosynthetic process"
"190","GO:0032480","GO:0048519","negative regulation of biological process"
"191","GO:0032480","GO:0048523","negative regulation of cellular process"
"192","GO:0032480","GO:0050789","regulation of biological process"
"193","GO:0032480","GO:0050794","regulation of cellular process"
"194","GO:0032480","GO:0051239","regulation of multicellular organismal process"
"195","GO:0032480","GO:0051241","negative regulation of multicellular organismal process"
"196","GO:0032480","GO:0060255","regulation of macromolecule metabolic process"
"197","GO:0032480","GO:0065007","biological regulation"
"198","GO:0032480","GO:0071704","organic substance metabolic process"
"199","GO:0032480","GO:1901576","organic substance biosynthetic process"
"200","GO:0032480","all","all"
"201","GO:0030155","GO:0007155","cell adhesion"
"202","GO:0030155","GO:0008150","biological_process"
"203","GO:0030155","GO:0009987","cellular process"
"204","GO:0030155","GO:0050789","regulation of biological process"
"205","GO:0030155","GO:0050794","regulation of cellular process"
"206","GO:0030155","GO:0065007","biological regulation"
"207","GO:0030155","all","all"
"208","GO:0001558","GO:0008150","biological_process"
"209","GO:0001558","GO:0009987","cellular process"
"210","GO:0001558","GO:0016043","cellular component organization"
"211","GO:0001558","GO:0016049","cell growth"
"212","GO:0001558","GO:0040007","growth"
"213","GO:0001558","GO:0040008","regulation of growth"
"214","GO:0001558","GO:0050789","regulation of biological process"
"215","GO:0001558","GO:0050794","regulation of cellular process"
"216","GO:0001558","GO:0051128","regulation of cellular component organization"
"217","GO:0001558","GO:0065007","biological regulation"
"218","GO:0001558","GO:0071840","cellular component organization or biogenesis"
"219","GO:0001558","all","all"
"220","GO:0036465","GO:0006810","transport"
"221","GO:0036465","GO:0008150","biological_process"
"222","GO:0036465","GO:0009987","cellular process"
"223","GO:0036465","GO:0016192","vesicle-mediated transport"
"224","GO:0036465","GO:0051179","localization"
"225","GO:0036465","GO:0051234","establishment of localization"
"226","GO:0036465","GO:0051641","cellular localization"
"227","GO:0036465","GO:0051649","establishment of localization in cell"
"228","GO:0036465","GO:0099003","vesicle-mediated transport in synapse"
"229","GO:0036465","GO:0099504","synaptic vesicle cycle"
"230","GO:0036465","all","all"
"231","GO:0071466","GO:0008150","biological_process"
"232","GO:0071466","GO:0009410","response to xenobiotic stimulus"
"233","GO:0071466","GO:0009987","cellular process"
"234","GO:0071466","GO:0042221","response to chemical"
"235","GO:0071466","GO:0050896","response to stimulus"
"236","GO:0071466","GO:0051716","cellular response to stimulus"
"237","GO:0071466","GO:0070887","cellular response to chemical stimulus"
"238","GO:0071466","all","all"
"239","GO:0000278","GO:0007049","cell cycle"
"240","GO:0000278","GO:0008150","biological_process"
"241","GO:0000278","GO:0009987","cellular process"
"242","GO:0000278","all","all"
"243","GO:0007286","GO:0000003","reproduction"
"244","GO:0007286","GO:0003006","developmental process involved in reproduction"
"245","GO:0007286","GO:0007276","gamete generation"
"246","GO:0007286","GO:0007281","germ cell development"
"247","GO:0007286","GO:0007283","spermatogenesis"
"248","GO:0007286","GO:0008150","biological_process"
"249","GO:0007286","GO:0009987","cellular process"
"250","GO:0007286","GO:0019953","sexual reproduction"
"251","GO:0007286","GO:0022412","cellular process involved in reproduction in multicellular organism"
"252","GO:0007286","GO:0022414","reproductive process"
"253","GO:0007286","GO:0030154","cell differentiation"
"254","GO:0007286","GO:0032501","multicellular organismal process"
"255","GO:0007286","GO:0032502","developmental process"
"256","GO:0007286","GO:0032504","multicellular organism reproduction"
"257","GO:0007286","GO:0048232","male gamete generation"
"258","GO:0007286","GO:0048468","cell development"
"259","GO:0007286","GO:0048515","spermatid differentiation"
"260","GO:0007286","GO:0048609","multicellular organismal reproductive process"
"261","GO:0007286","GO:0048856","anatomical structure development"
"262","GO:0007286","GO:0048869","cellular developmental process"
"263","GO:0007286","all","all"
