chr,start,end,windows,size,mean_lassi,max_lassi,gene_name,ensembl_id
B4,123341391,123410174,2,68783,21.06685,22.36,NR1H4,GAS2L3,ENSFCAG00000006469,ENSFCAG00000023152
C1,32238143,32301114,1,62971,19.476,19.476,SCMH1,ENSFCAG00000015324
C1,125718422,125963408,7,244986,25.49238571,29.5285,,
C1,152713872,152863458,2,149586,21.71405,21.777,,
C2,105403318,105706137,8,302819,33.32905,45.8822,,
C2,112822536,112896382,1,73846,22.1313,22.1313,,
C2,139012838,139078315,1,65477,22.1163,22.1163,EFHB,PP2D1,ENSFCAG00000004454,ENSFCAG00000040097,ENSFCAG00000039795
D1,28319153,28646696,4,327543,28.438275,35.4648,NTM,ENSFCAG00000026782
D1,53114120,53245568,2,131448,22.92585,24.534,,
D1,75086648,75271666,3,185018,24.83156667,28.0229,PLEKHA7,PIK3C2A,ENSFCAG00000033219,ENSFCAG00000042979,ENSFCAG00000043970,ENSFCAG00000007029,ENSFCAG00000023161
D1,93928129,94030496,2,102367,20.70765,21.1062,,
D1,95978220,96164957,5,186737,43.11426,52.7343,,
D3,28015328,28889101,41,873773,113.0249707,190.315,CCDC188,TRMT2A,TBX1,GP1BB,CLDN5,C22orf39,RTN4R,ZDHHC8,RANBP1,DGCR8,TANGO2,ARVCF,COMT,GNB1L,CDC45,UFD1,HIRA,TXNRD2,MRPL40,ENSFCAG00000023783,ENSFCAG00000029025,ENSFCAG00000004170,ENSFCAG00000005446,ENSFCAG00000032253,ENSFCAG00000029093,ENSFCAG00000025374,ENSFCAG00000028790,ENSFCAG00000032911,ENSFCAG00000004172,ENSFCAG00000004171,ENSFCAG00000006801,ENSFCAG00000002688,ENSFCAG00000002686,ENSFCAG00000002684,ENSFCAG00000018235,ENSFCAG00000035936,ENSFCAG00000004297,ENSFCAG00000004294,ENSFCAG00000002750,ENSFCAG00000002682,ENSFCAG00000002752
D3,29003082,29477076,8,473994,30.684975,44.7401,SLC25A1,GSC2,TSSK2,TSSK1B,ZNF74,CLTCL1,ESS2,KLHL22,MED15,DGCR2,SCARF2,ENSFCAG00000009533,ENSFCAG00000042776,ENSFCAG00000009531,ENSFCAG00000023621,ENSFCAG00000035533,ENSFCAG00000002747,ENSFCAG00000029613,ENSFCAG00000005998,ENSFCAG00000005999,ENSFCAG00000009527,ENSFCAG00000030668,ENSFCAG00000019214
D3,29733174,30163037,10,429863,46.01926,62.3444,THAP7,SERPIND1,HIC2,YDJC,SDF2L1,YPEL1,LZTR1,CRKL,SNAP29,UBE2L3,AIFM3,PI4KA,PPIL2,ENSFCAG00000037302,ENSFCAG00000006002,ENSFCAG00000003742,ENSFCAG00000023903,ENSFCAG00000008011,ENSFCAG00000008014,ENSFCAG00000040144,ENSFCAG00000045712,ENSFCAG00000006007,ENSFCAG00000006004,ENSFCAG00000042983,ENSFCAG00000008005,ENSFCAG00000008008,ENSFCAG00000031033,ENSFCAG00000006006,ENSFCAG00000006001,ENSFCAG00000002622
D3,30363933,30748187,11,384254,66.11359091,107.203,VPREB1,ZNF70,VPREB3,MMP11,MIF,PPM1F,TOP3B,CHCHD10,SMARCB1,DERL3,ENSFCAG00000046581,ENSFCAG00000034836,ENSFCAG00000004058,ENSFCAG00000004065,ENSFCAG00000015309,ENSFCAG00000004071,ENSFCAG00000002630,ENSFCAG00000002631,ENSFCAG00000004059,ENSFCAG00000004068,ENSFCAG00000004069,ENSFCAG00000040179,ENSFCAG00000004070
D3,51550006,51581755,1,31749,25.6768,25.6768,CHST9,ENSFCAG00000003134
D3,74023276,74344266,21,320990,137.4645619,165.969,DCC,ENSFCAG00000012953
D3,85105239,85422344,8,317105,30.2504,35.1296,CDH7,ENSFCAG00000019323
D4,31488849,33572515,2,2083666,27.9625,27.9635,MLANA,ENSFCAG00000032990
D4,76979847,77145009,5,165162,34.06392,43.5086,TNC,ENSFCAG00000004938
E1,13686833,14024687,16,337854,85.7692125,115.657,OR3A3,OR1G1,RAP1GAP2,ENSFCAG00000033740,ENSFCAG00000044826,ENSFCAG00000036646,ENSFCAG00000029700,ENSFCAG00000038435,ENSFCAG00000033926,ENSFCAG00000042337,ENSFCAG00000041995,ENSFCAG00000046628,ENSFCAG00000009157,ENSFCAG00000041953,ENSFCAG00000045989,ENSFCAG00000031088,ENSFCAG00000039141,ENSFCAG00000007849
E1,18850880,18874645,1,23765,23.0905,23.0905,NOS2,ENSFCAG00000009214,ENSFCAG00000009212
E1,24608999,24811531,7,202532,31.60872857,33.371,DHRS11,PIGW,MRM1,MYO19,GGNBP2,ENSFCAG00000007033,ENSFCAG00000026395,ENSFCAG00000041062,ENSFCAG00000031667,ENSFCAG00000011616,ENSFCAG00000007032
E2,25944496,26088964,8,144468,36.9007625,37.592,,
E2,32965021,33149821,3,184800,22.84063333,24.9385,CHD9,ENSFCAG00000022534
E2,43430965,43591100,4,160135,30.34535,41.0627,,
E3,40082531,40151200,2,68669,21.4301,22.2354,RBFOX1,ENSFCAG00000025322
F1,18741074,19010951,7,269877,36.40734286,45.0903,RABGAP1L,ENSFCAG00000026642
F2,28925910,29102605,3,176695,20.73546667,23.1143,,
F2,76042069,76165826,5,123757,25.32878,29.9333,KCNQ3,ENSFCAG00000000984
F2,80486578,80549006,1,62428,26.8403,26.8403,,
F2,81637343,81658253,1,20910,21.8562,21.8562,,
