"","Ancestor","Description"
"116","GO:0099068","postsynapse assembly"
"117","GO:0099173","postsynapse organization"
"118","GO:0099175","regulation of postsynapse organization"
"119","GO:1901888","regulation of cell junction assembly"
"120","GO:0032479","regulation of type I interferon production"
"121","GO:0032606","type I interferon production"
"122","GO:0007155","cell adhesion"
"123","GO:0016049","cell growth"
"124","GO:0040007","growth"
"125","GO:0040008","regulation of growth"
"126","GO:0016192","vesicle-mediated transport"
"127","GO:0051641","cellular localization"
"128","GO:0051649","establishment of localization in cell"
"129","GO:0099003","vesicle-mediated transport in synapse"
"130","GO:0099504","synaptic vesicle cycle"
"131","GO:0009410","response to xenobiotic stimulus"
"132","GO:0070887","cellular response to chemical stimulus"
"133","GO:0007049","cell cycle"
"134","GO:0000003","reproduction"
"135","GO:0003006","developmental process involved in reproduction"
"136","GO:0007276","gamete generation"
"137","GO:0007281","germ cell development"
"138","GO:0007283","spermatogenesis"
"139","GO:0019953","sexual reproduction"
"140","GO:0022412","cellular process involved in reproduction in multicellular organism"
"141","GO:0022414","reproductive process"
"142","GO:0030154","cell differentiation"
"143","GO:0032504","multicellular organism reproduction"
"144","GO:0048232","male gamete generation"
"145","GO:0048468","cell development"
"146","GO:0048515","spermatid differentiation"
"147","GO:0048609","multicellular organismal reproductive process"
"148","GO:0048869","cellular developmental process"
