"","Ancestor","Description"
"236","GO:0070887","cellular response to chemical stimulus"
"237","GO:0071216","cellular response to biotic stimulus"
"238","GO:0071219","cellular response to molecule of bacterial origin"
"239","GO:0071222","cellular response to lipopolysaccharide"
"240","GO:0071310","cellular response to organic substance"
"241","GO:0071396","cellular response to lipid"
"242","GO:1901700","response to oxygen-containing compound"
"243","GO:1901701","cellular response to oxygen-containing compound"
"244","GO:0007167","enzyme-linked receptor protein signaling pathway"
"245","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway"
"246","GO:0009719","response to endogenous stimulus"
"247","GO:0009725","response to hormone"
"248","GO:0010243","response to organonitrogen compound"
"249","GO:0032868","response to insulin"
"250","GO:0032869","cellular response to insulin stimulus"
"251","GO:0032870","cellular response to hormone stimulus"
"252","GO:0043434","response to peptide hormone"
"253","GO:0071375","cellular response to peptide hormone stimulus"
"254","GO:0071417","cellular response to organonitrogen compound"
"255","GO:0071495","cellular response to endogenous stimulus"
"256","GO:1901652","response to peptide"
"257","GO:1901653","cellular response to peptide"
"258","GO:1901698","response to nitrogen compound"
"259","GO:1901699","cellular response to nitrogen compound"
"260","GO:0006950","response to stress"
"261","GO:0006952","defense response"
"262","GO:0042742","defense response to bacterium"
"263","GO:0098542","defense response to other organism"
"264","GO:0045103","intermediate filament-based process"
"265","GO:0045104","intermediate filament cytoskeleton organization"
"266","GO:0009056","catabolic process"
"267","GO:0044248","cellular catabolic process"
"268","GO:0061919","process utilizing autophagic mechanism"
