"","Ancestor","Description"
"82","GO:0040029","epigenetic regulation of gene expression"
"83","GO:0043170","macromolecule metabolic process"
"84","GO:0043933","protein-containing complex organization"
"85","GO:0044249","cellular biosynthetic process"
"86","GO:0045814","negative regulation of gene expression, epigenetic"
"87","GO:0048519","negative regulation of biological process"
"88","GO:0048523","negative regulation of cellular process"
"89","GO:0060255","regulation of macromolecule metabolic process"
"90","GO:0070828","heterochromatin organization"
"91","GO:0071824","protein-DNA complex organization"
"92","GO:0071840","cellular component organization or biogenesis"
"93","GO:0140718","facultative heterochromatin formation"
"94","GO:1901576","organic substance biosynthetic process"
"95","GO:0008104","protein localization"
"96","GO:0031503","protein-containing complex localization"
"97","GO:0033036","macromolecule localization"
"98","GO:0033365","protein localization to organelle"
"99","GO:0035418","protein localization to synapse"
"100","GO:0051179","localization"
"101","GO:0051641","cellular localization"
"102","GO:0051668","localization within membrane"
"103","GO:0062237","protein localization to postsynapse"
"104","GO:0070727","cellular macromolecule localization"
"105","GO:0072657","protein localization to membrane"
"106","GO:0097120","receptor localization to synapse"
"107","GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels"
"108","GO:0099633","protein localization to postsynaptic specialization membrane"
"109","GO:1902414","protein localization to cell junction"
"110","GO:1903539","protein localization to postsynaptic membrane"
"111","GO:1990778","protein localization to cell periphery"
"112","GO:0032526","response to retinoic acid"
"113","GO:0033993","response to lipid"
"114","GO:0051716","cellular response to stimulus"
"115","GO:0070887","cellular response to chemical stimulus"
"116","GO:0071310","cellular response to organic substance"
"117","GO:0071396","cellular response to lipid"
"118","GO:1901700","response to oxygen-containing compound"
"119","GO:1901701","cellular response to oxygen-containing compound"
"120","GO:0001508","action potential"
"121","GO:0003008","system process"
"122","GO:0003013","circulatory system process"
"123","GO:0003015","heart process"
"124","GO:0007154","cell communication"
"125","GO:0007267","cell-cell signaling"
"126","GO:0008015","blood circulation"
"127","GO:0008016","regulation of heart contraction"
"128","GO:0023052","signaling"
"129","GO:0044057","regulation of system process"
"130","GO:0051239","regulation of multicellular organismal process"
"131","GO:0060047","heart contraction"
"132","GO:0061337","cardiac conduction"
"133","GO:0086001","cardiac muscle cell action potential"
"134","GO:0086019","cell-cell signaling involved in cardiac conduction"
"135","GO:0086028","bundle of His cell to Purkinje myocyte signaling"
"136","GO:0086065","cell communication involved in cardiac conduction"
"137","GO:0086069","bundle of His cell to Purkinje myocyte communication"
"138","GO:1903522","regulation of blood circulation"
"139","GO:0086027","AV node cell to bundle of His cell signaling"
"140","GO:0086067","AV node cell to bundle of His cell communication"
"141","GO:0006810","transport"
"142","GO:0006897","endocytosis"
"143","GO:0006898","receptor-mediated endocytosis"
"144","GO:0016192","vesicle-mediated transport"
"145","GO:0031623","receptor internalization"
"146","GO:0051234","establishment of localization"
"147","GO:0098657","import into cell"
"148","GO:0007155","cell adhesion"
"149","GO:0098609","cell-cell adhesion"
"150","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules"
"151","GO:0001894","tissue homeostasis"
"152","GO:0042592","homeostatic process"
"153","GO:0048871","multicellular organismal-level homeostasis"
"154","GO:0048872","homeostasis of number of cells"
"155","GO:0060249","anatomical structure homeostasis"
"156","GO:0021953","central nervous system neuron differentiation"
"157","GO:0022008","neurogenesis"
"158","GO:0030182","neuron differentiation"
"159","GO:0048666","neuron development"
"160","GO:0048699","generation of neurons"
"161","GO:0001501","skeletal system development"
"162","GO:0035265","organ growth"
"163","GO:0040007","growth"
"164","GO:0048589","developmental growth"
"165","GO:0060348","bone development"
"166","GO:0098868","bone growth"
