GO.ID	Term	Annotated	Significant	Expected	Fisher	ensembl_gene_id	external_gene_name
GO:0035094	response to nicotine	16	2	0.26	0.02788	ENSFCAG00000010080,ENSFCAG00000022358	CHRNB3,CHRNA6
GO:0090200	positive regulation of release of cytochrome c from mitochondria	16	2	0.26	0.02788	ENSFCAG00000036350,ENSFCAG00000027874	BCL2L11,MLLT11
GO:0031398	positive regulation of protein ubiquitination	70	4	1.15	0.02829	ENSFCAG00000025797,ENSFCAG00000034785,ENSFCAG00000045651,ENSFCAG00000027111	NDFIP2,CAV1,ANGPT1,UBE3A
GO:0060716	labyrinthine layer blood vessel development	17	2	0.28	0.03126	ENSFCAG00000007032,ENSFCAG00000042057	GGNBP2,HS6ST1
GO:0006936	muscle contraction	189	4	3.12	0.03147	ENSFCAG00000029681,ENSFCAG00000031307	,CERT1
GO:0006139	nucleobase-containing compound metabolic process	3931	68	64.79	0.03225	ENSFCAG00000005101	SRBD1
GO:0060491	regulation of cell projection assembly	149	2	2.46	0.03290	ENSFCAG00000022925	FAM110C
GO:0001541	ovarian follicle development	43	3	0.71	0.03364	ENSFCAG00000044117,ENSFCAG00000033257,ENSFCAG00000027111	FANCG,IMMP2L,UBE3A
GO:0034220	monoatomic ion transmembrane transport	656	12	10.81	0.03406	ENSFCAG00000010080,ENSFCAG00000022358,ENSFCAG00000011060,ENSFCAG00000023805	CHRNB3,CHRNA6,GRID1,GABRG3
GO:0033137	negative regulation of peptidyl-serine phosphorylation	21	3	0.35	0.03453	ENSFCAG00000034785,ENSFCAG00000043055	CAV1,PAQR3
GO:0048814	regulation of dendrite morphogenesis	35	3	0.58	0.03459	ENSFCAG00000030368,ENSFCAG00000002654	LZTS1,ADGRB3
GO:0035987	endodermal cell differentiation	44	3	0.73	0.03567	ENSFCAG00000014785,ENSFCAG00000045165,ENSFCAG00000001230	COL4A2,COL11A1,NODAL
GO:0007032	endosome organization	45	3	0.74	0.03777	ENSFCAG00000014700,ENSFCAG00000025031,ENSFCAG00000003874	SQSTM1,HOOK3,DNAJC13
GO:0090128	regulation of synapse maturation	19	2	0.31	0.03847	ENSFCAG00000031568,ENSFCAG00000002654	FGF7,ADGRB3
GO:0034394	protein localization to cell surface	46	3	0.76	0.04210	ENSFCAG00000031568,ENSFCAG00000011484,ENSFCAG00000045651	FGF7,ASTN2,ANGPT1
GO:2000179	positive regulation of neural precursor cell proliferation	47	3	0.77	0.04211	ENSFCAG00000000279,ENSFCAG00000036791	NAP1L1,WNT3A
GO:0070936	protein K48-linked ubiquitination	80	4	1.32	0.04305	ENSFCAG00000001711,ENSFCAG00000027305,ENSFCAG00000014600,ENSFCAG00000027111	CDC23,ANAPC1,CDC16,UBE3A
GO:1903078	positive regulation of protein localization to plasma membrane	48	3	0.79	0.04443	ENSFCAG00000010592,ENSFCAG00000014700,ENSFCAG00000036791	SPTBN1,SQSTM1,WNT3A
GO:0060078	regulation of postsynaptic membrane potential	77	5	1.27	0.04549	ENSFCAG00000010080,ENSFCAG00000022358,ENSFCAG00000011060,ENSFCAG00000023805	CHRNB3,CHRNA6,GRID1,GABRG3
GO:0019933	cAMP-mediated signaling	21	2	0.35	0.04625	ENSFCAG00000006409,ENSFCAG00000000972	GLP1R,PDE3A
GO:0007005	mitochondrion organization	414	12	6.82	0.04653	ENSFCAG00000024100,ENSFCAG00000044117,ENSFCAG00000031307,ENSFCAG00000012523,ENSFCAG00000001123	NOA1,FANCG,CERT1,ABCC9,STOML2
GO:0007431	salivary gland development	31	3	0.51	0.04832	ENSFCAG00000008414	ASCL3
GO:0007091	metaphase/anaphase transition of mitotic cell cycle	50	3	0.82	0.04838	ENSFCAG00000027305	ANAPC1
GO:0035710	CD4-positive, alpha-beta T cell activation	90	3	1.48	0.04852	ENSFCAG00000001123	STOML2
GO:1905517	macrophage migration	41	2	0.68	0.04856	ENSFCAG00000031666	B4GALT1
GO:2000058	regulation of ubiquitin-dependent protein catabolic process	126	3	2.08	0.04864	ENSFCAG00000027111	UBE3A
GO:0050779	RNA destabilization	67	2	1.1	0.04865	ENSFCAG00000044308	LIN28B
GO:0043067	regulation of programmed cell death	1010	15	16.65	0.04922	ENSFCAG00000027034	ZDHHC17
