"","GO.ID","Ancestor","Description"
"111","GO:0006012","GO:0071704","organic substance metabolic process"
"112","GO:0006012","all","all"
"113","GO:0051965","GO:0007275","multicellular organism development"
"114","GO:0051965","GO:0007399","nervous system development"
"115","GO:0051965","GO:0007416","synapse assembly"
"116","GO:0051965","GO:0008150","biological_process"
"117","GO:0051965","GO:0009987","cellular process"
"118","GO:0051965","GO:0016043","cellular component organization"
"119","GO:0051965","GO:0022607","cellular component assembly"
"120","GO:0051965","GO:0032501","multicellular organismal process"
"121","GO:0051965","GO:0032502","developmental process"
"122","GO:0051965","GO:0034329","cell junction assembly"
"123","GO:0051965","GO:0034330","cell junction organization"
"124","GO:0051965","GO:0044085","cellular component biogenesis"
"125","GO:0051965","GO:0044087","regulation of cellular component biogenesis"
"126","GO:0051965","GO:0044089","positive regulation of cellular component biogenesis"
"127","GO:0051965","GO:0048518","positive regulation of biological process"
"128","GO:0051965","GO:0048522","positive regulation of cellular process"
"129","GO:0051965","GO:0048731","system development"
"130","GO:0051965","GO:0048856","anatomical structure development"
"131","GO:0051965","GO:0050789","regulation of biological process"
"132","GO:0051965","GO:0050793","regulation of developmental process"
"133","GO:0051965","GO:0050794","regulation of cellular process"
"134","GO:0051965","GO:0050803","regulation of synapse structure or activity"
"135","GO:0051965","GO:0050807","regulation of synapse organization"
"136","GO:0051965","GO:0050808","synapse organization"
"137","GO:0051965","GO:0051094","positive regulation of developmental process"
"138","GO:0051965","GO:0051128","regulation of cellular component organization"
"139","GO:0051965","GO:0051130","positive regulation of cellular component organization"
"140","GO:0051965","GO:0051239","regulation of multicellular organismal process"
"141","GO:0051965","GO:0051240","positive regulation of multicellular organismal process"
"142","GO:0051965","GO:0051960","regulation of nervous system development"
"143","GO:0051965","GO:0051962","positive regulation of nervous system development"
"144","GO:0051965","GO:0051963","regulation of synapse assembly"
"145","GO:0051965","GO:0065007","biological regulation"
"146","GO:0051965","GO:0065008","regulation of biological quality"
"147","GO:0051965","GO:0071840","cellular component organization or biogenesis"
"148","GO:0051965","GO:1901888","regulation of cell junction assembly"
"149","GO:0051965","GO:1901890","positive regulation of cell junction assembly"
"150","GO:0051965","GO:2000026","regulation of multicellular organismal development"
"151","GO:0051965","all","all"
"152","GO:0042532","GO:0001932","regulation of protein phosphorylation"
"153","GO:0042532","GO:0001933","negative regulation of protein phosphorylation"
"154","GO:0042532","GO:0006468","protein phosphorylation"
"155","GO:0042532","GO:0006793","phosphorus metabolic process"
"156","GO:0042532","GO:0006796","phosphate-containing compound metabolic process"
"157","GO:0042532","GO:0006807","nitrogen compound metabolic process"
"158","GO:0042532","GO:0007154","cell communication"
"159","GO:0042532","GO:0007165","signal transduction"
"160","GO:0042532","GO:0007166","cell surface receptor signaling pathway"
"161","GO:0042532","GO:0007259","receptor signaling pathway via JAK-STAT"
"162","GO:0042532","GO:0007260","tyrosine phosphorylation of STAT protein"
"163","GO:0042532","GO:0008150","biological_process"
"164","GO:0042532","GO:0008152","metabolic process"
"165","GO:0042532","GO:0009892","negative regulation of metabolic process"
"166","GO:0042532","GO:0009966","regulation of signal transduction"
"167","GO:0042532","GO:0009968","negative regulation of signal transduction"
"168","GO:0042532","GO:0009987","cellular process"
"169","GO:0042532","GO:0010563","negative regulation of phosphorus metabolic process"
"170","GO:0042532","GO:0010605","negative regulation of macromolecule metabolic process"
"171","GO:0042532","GO:0010646","regulation of cell communication"
"172","GO:0042532","GO:0010648","negative regulation of cell communication"
"173","GO:0042532","GO:0016310","phosphorylation"
"174","GO:0042532","GO:0018108","peptidyl-tyrosine phosphorylation"
"175","GO:0042532","GO:0018193","peptidyl-amino acid modification"
"176","GO:0042532","GO:0018212","peptidyl-tyrosine modification"
"177","GO:0042532","GO:0019220","regulation of phosphate metabolic process"
"178","GO:0042532","GO:0019222","regulation of metabolic process"
"179","GO:0042532","GO:0019538","protein metabolic process"
"180","GO:0042532","GO:0023051","regulation of signaling"
"181","GO:0042532","GO:0023052","signaling"
"182","GO:0042532","GO:0023057","negative regulation of signaling"
"183","GO:0042532","GO:0031323","regulation of cellular metabolic process"
"184","GO:0042532","GO:0031324","negative regulation of cellular metabolic process"
"185","GO:0042532","GO:0031399","regulation of protein modification process"
"186","GO:0042532","GO:0031400","negative regulation of protein modification process"
"187","GO:0042532","GO:0036211","protein modification process"
"188","GO:0042532","GO:0042325","regulation of phosphorylation"
"189","GO:0042532","GO:0042326","negative regulation of phosphorylation"
"190","GO:0042532","GO:0042509","regulation of tyrosine phosphorylation of STAT protein"
"191","GO:0042532","GO:0043170","macromolecule metabolic process"
"192","GO:0042532","GO:0043412","macromolecule modification"
"193","GO:0042532","GO:0044237","cellular metabolic process"
"194","GO:0042532","GO:0044238","primary metabolic process"
"195","GO:0042532","GO:0045936","negative regulation of phosphate metabolic process"
"196","GO:0042532","GO:0046425","regulation of receptor signaling pathway via JAK-STAT"
"197","GO:0042532","GO:0046426","negative regulation of receptor signaling pathway via JAK-STAT"
"198","GO:0042532","GO:0048519","negative regulation of biological process"
"199","GO:0042532","GO:0048523","negative regulation of cellular process"
"200","GO:0042532","GO:0048583","regulation of response to stimulus"
"201","GO:0042532","GO:0048585","negative regulation of response to stimulus"
"202","GO:0042532","GO:0050730","regulation of peptidyl-tyrosine phosphorylation"
"203","GO:0042532","GO:0050732","negative regulation of peptidyl-tyrosine phosphorylation"
"204","GO:0042532","GO:0050789","regulation of biological process"
"205","GO:0042532","GO:0050794","regulation of cellular process"
"206","GO:0042532","GO:0050896","response to stimulus"
"207","GO:0042532","GO:0051171","regulation of nitrogen compound metabolic process"
"208","GO:0042532","GO:0051172","negative regulation of nitrogen compound metabolic process"
"209","GO:0042532","GO:0051174","regulation of phosphorus metabolic process"
"210","GO:0042532","GO:0051246","regulation of protein metabolic process"
"211","GO:0042532","GO:0051248","negative regulation of protein metabolic process"
"212","GO:0042532","GO:0051716","cellular response to stimulus"
"213","GO:0042532","GO:0060255","regulation of macromolecule metabolic process"
"214","GO:0042532","GO:0065007","biological regulation"
"215","GO:0042532","GO:0071704","organic substance metabolic process"
"216","GO:0042532","GO:0080090","regulation of primary metabolic process"
"217","GO:0042532","GO:0097696","receptor signaling pathway via STAT"
"218","GO:0042532","GO:1901564","organonitrogen compound metabolic process"
"219","GO:0042532","GO:1904892","regulation of receptor signaling pathway via STAT"
"220","GO:0042532","GO:1904893","negative regulation of receptor signaling pathway via STAT"
"221","GO:0042532","all","all"
"222","GO:0051899","GO:0008150","biological_process"
"223","GO:0051899","GO:0042391","regulation of membrane potential"
"224","GO:0051899","GO:0065007","biological regulation"
"225","GO:0051899","GO:0065008","regulation of biological quality"
"226","GO:0051899","all","all"
"227","GO:0071560","GO:0008150","biological_process"
"228","GO:0071560","GO:0009719","response to endogenous stimulus"
"229","GO:0071560","GO:0050896","response to stimulus"
"230","GO:0071560","GO:0070848","response to growth factor"
"231","GO:0071560","GO:0071363","cellular response to growth factor stimulus"
"232","GO:0071560","GO:0071495","cellular response to endogenous stimulus"
"233","GO:0071560","GO:0071559","response to transforming growth factor beta"
"234","GO:0071560","all","all"
"235","GO:0006734","GO:0006725","cellular aromatic compound metabolic process"
"236","GO:0006734","GO:0006753","nucleoside phosphate metabolic process"
"237","GO:0006734","GO:0006793","phosphorus metabolic process"
"238","GO:0006734","GO:0006796","phosphate-containing compound metabolic process"
"239","GO:0006734","GO:0006807","nitrogen compound metabolic process"
"240","GO:0006734","GO:0008150","biological_process"
"241","GO:0006734","GO:0008152","metabolic process"
"242","GO:0006734","GO:0009987","cellular process"
"243","GO:0006734","GO:0019362","pyridine nucleotide metabolic process"
"244","GO:0006734","GO:0019637","organophosphate metabolic process"
"245","GO:0006734","GO:0019674","NAD metabolic process"
"246","GO:0006734","GO:0034641","cellular nitrogen compound metabolic process"
"247","GO:0006734","GO:0044237","cellular metabolic process"
"248","GO:0006734","GO:0044238","primary metabolic process"
"249","GO:0006734","GO:0044281","small molecule metabolic process"
"250","GO:0006734","GO:0046483","heterocycle metabolic process"
"251","GO:0006734","GO:0046496","nicotinamide nucleotide metabolic process"
"252","GO:0006734","GO:0055086","nucleobase-containing small molecule metabolic process"
"253","GO:0006734","GO:0071704","organic substance metabolic process"
"254","GO:0006734","GO:0072521","purine-containing compound metabolic process"
"255","GO:0006734","GO:0072524","pyridine-containing compound metabolic process"
"256","GO:0006734","GO:1901360","organic cyclic compound metabolic process"
"257","GO:0006734","GO:1901564","organonitrogen compound metabolic process"
"258","GO:0006734","all","all"
"259","GO:1905719","GO:0008104","protein localization"
"260","GO:1905719","GO:0008150","biological_process"
"261","GO:1905719","GO:0009987","cellular process"
"262","GO:1905719","GO:0033036","macromolecule localization"
"263","GO:1905719","GO:0051179","localization"
"264","GO:1905719","GO:0051641","cellular localization"
"265","GO:1905719","GO:0070727","cellular macromolecule localization"
"266","GO:1905719","all","all"
"267","GO:0031397","GO:0006807","nitrogen compound metabolic process"
"268","GO:0031397","GO:0008150","biological_process"
"269","GO:0031397","GO:0008152","metabolic process"
"270","GO:0031397","GO:0009892","negative regulation of metabolic process"
"271","GO:0031397","GO:0010605","negative regulation of macromolecule metabolic process"
"272","GO:0031397","GO:0016567","protein ubiquitination"
"273","GO:0031397","GO:0019222","regulation of metabolic process"
"274","GO:0031397","GO:0019538","protein metabolic process"
"275","GO:0031397","GO:0031396","regulation of protein ubiquitination"
"276","GO:0031397","GO:0031399","regulation of protein modification process"
"277","GO:0031397","GO:0031400","negative regulation of protein modification process"
"278","GO:0031397","GO:0032446","protein modification by small protein conjugation"
"279","GO:0031397","GO:0036211","protein modification process"
"280","GO:0031397","GO:0043170","macromolecule metabolic process"
"281","GO:0031397","GO:0043412","macromolecule modification"
"282","GO:0031397","GO:0043687","post-translational protein modification"
"283","GO:0031397","GO:0044238","primary metabolic process"
"284","GO:0031397","GO:0048519","negative regulation of biological process"
"285","GO:0031397","GO:0050789","regulation of biological process"
"286","GO:0031397","GO:0051171","regulation of nitrogen compound metabolic process"
"287","GO:0031397","GO:0051172","negative regulation of nitrogen compound metabolic process"
"288","GO:0031397","GO:0051246","regulation of protein metabolic process"
"289","GO:0031397","GO:0051248","negative regulation of protein metabolic process"
"290","GO:0031397","GO:0060255","regulation of macromolecule metabolic process"
"291","GO:0031397","GO:0065007","biological regulation"
"292","GO:0031397","GO:0070647","protein modification by small protein conjugation or removal"
"293","GO:0031397","GO:0071704","organic substance metabolic process"
"294","GO:0031397","GO:0080090","regulation of primary metabolic process"
"295","GO:0031397","GO:1901564","organonitrogen compound metabolic process"
"296","GO:0031397","GO:1901873","regulation of post-translational protein modification"
"297","GO:0031397","GO:1901874","negative regulation of post-translational protein modification"
"298","GO:0031397","GO:1903320","regulation of protein modification by small protein conjugation or removal"
"299","GO:0031397","GO:1903321","negative regulation of protein modification by small protein conjugation or removal"
"300","GO:0031397","all","all"
"301","GO:0033138","GO:0001932","regulation of protein phosphorylation"
"302","GO:0033138","GO:0001934","positive regulation of protein phosphorylation"
"303","GO:0033138","GO:0006468","protein phosphorylation"
"304","GO:0033138","GO:0006793","phosphorus metabolic process"
"305","GO:0033138","GO:0006796","phosphate-containing compound metabolic process"
"306","GO:0033138","GO:0006807","nitrogen compound metabolic process"
"307","GO:0033138","GO:0008150","biological_process"
"308","GO:0033138","GO:0008152","metabolic process"
"309","GO:0033138","GO:0009893","positive regulation of metabolic process"
"310","GO:0033138","GO:0009987","cellular process"
"311","GO:0033138","GO:0010562","positive regulation of phosphorus metabolic process"
"312","GO:0033138","GO:0010604","positive regulation of macromolecule metabolic process"
"313","GO:0033138","GO:0016310","phosphorylation"
"314","GO:0033138","GO:0018105","peptidyl-serine phosphorylation"
"315","GO:0033138","GO:0018193","peptidyl-amino acid modification"
"316","GO:0033138","GO:0018209","peptidyl-serine modification"
"317","GO:0033138","GO:0019220","regulation of phosphate metabolic process"
"318","GO:0033138","GO:0019222","regulation of metabolic process"
"319","GO:0033138","GO:0019538","protein metabolic process"
"320","GO:0033138","GO:0031323","regulation of cellular metabolic process"
"321","GO:0033138","GO:0031325","positive regulation of cellular metabolic process"
"322","GO:0033138","GO:0031399","regulation of protein modification process"
"323","GO:0033138","GO:0031401","positive regulation of protein modification process"
"324","GO:0033138","GO:0033135","regulation of peptidyl-serine phosphorylation"
"325","GO:0033138","GO:0036211","protein modification process"
"326","GO:0033138","GO:0042325","regulation of phosphorylation"
"327","GO:0033138","GO:0042327","positive regulation of phosphorylation"
"328","GO:0033138","GO:0043170","macromolecule metabolic process"
"329","GO:0033138","GO:0043412","macromolecule modification"
"330","GO:0033138","GO:0044237","cellular metabolic process"
"331","GO:0033138","GO:0044238","primary metabolic process"
"332","GO:0033138","GO:0045937","positive regulation of phosphate metabolic process"
"333","GO:0033138","GO:0048518","positive regulation of biological process"
"334","GO:0033138","GO:0048522","positive regulation of cellular process"
"335","GO:0033138","GO:0050789","regulation of biological process"
"336","GO:0033138","GO:0050794","regulation of cellular process"
"337","GO:0033138","GO:0051171","regulation of nitrogen compound metabolic process"
"338","GO:0033138","GO:0051173","positive regulation of nitrogen compound metabolic process"
"339","GO:0033138","GO:0051174","regulation of phosphorus metabolic process"
"340","GO:0033138","GO:0051246","regulation of protein metabolic process"
"341","GO:0033138","GO:0051247","positive regulation of protein metabolic process"
"342","GO:0033138","GO:0060255","regulation of macromolecule metabolic process"
"343","GO:0033138","GO:0065007","biological regulation"
"344","GO:0033138","GO:0071704","organic substance metabolic process"
"345","GO:0033138","GO:0080090","regulation of primary metabolic process"
"346","GO:0033138","GO:1901564","organonitrogen compound metabolic process"
"347","GO:0033138","all","all"
"348","GO:0032743","GO:0001816","cytokine production"
"349","GO:0032743","GO:0001817","regulation of cytokine production"
"350","GO:0032743","GO:0001819","positive regulation of cytokine production"
"351","GO:0032743","GO:0008150","biological_process"
"352","GO:0032743","GO:0008152","metabolic process"
"353","GO:0032743","GO:0009058","biosynthetic process"
"354","GO:0032743","GO:0009059","macromolecule biosynthetic process"
"355","GO:0032743","GO:0009889","regulation of biosynthetic process"
"356","GO:0032743","GO:0009891","positive regulation of biosynthetic process"
"357","GO:0032743","GO:0009893","positive regulation of metabolic process"
"358","GO:0032743","GO:0009987","cellular process"
"359","GO:0032743","GO:0010467","gene expression"
"360","GO:0032743","GO:0010468","regulation of gene expression"
"361","GO:0032743","GO:0010556","regulation of macromolecule biosynthetic process"
"362","GO:0032743","GO:0010557","positive regulation of macromolecule biosynthetic process"
"363","GO:0032743","GO:0010604","positive regulation of macromolecule metabolic process"
"364","GO:0032743","GO:0010628","positive regulation of gene expression"
"365","GO:0032743","GO:0019222","regulation of metabolic process"
"366","GO:0032743","GO:0031323","regulation of cellular metabolic process"
"367","GO:0032743","GO:0031325","positive regulation of cellular metabolic process"
"368","GO:0032743","GO:0031326","regulation of cellular biosynthetic process"
"369","GO:0032743","GO:0031328","positive regulation of cellular biosynthetic process"
"370","GO:0032743","GO:0032501","multicellular organismal process"
"371","GO:0032743","GO:0032623","interleukin-2 production"
"372","GO:0032743","GO:0032663","regulation of interleukin-2 production"
"373","GO:0032743","GO:0043170","macromolecule metabolic process"
"374","GO:0032743","GO:0044237","cellular metabolic process"
"375","GO:0032743","GO:0044249","cellular biosynthetic process"
"376","GO:0032743","GO:0048518","positive regulation of biological process"
"377","GO:0032743","GO:0048522","positive regulation of cellular process"
"378","GO:0032743","GO:0050789","regulation of biological process"
"379","GO:0032743","GO:0050794","regulation of cellular process"
"380","GO:0032743","GO:0051239","regulation of multicellular organismal process"
"381","GO:0032743","GO:0051240","positive regulation of multicellular organismal process"
"382","GO:0032743","GO:0060255","regulation of macromolecule metabolic process"
"383","GO:0032743","GO:0065007","biological regulation"
"384","GO:0032743","GO:0071704","organic substance metabolic process"
"385","GO:0032743","GO:1901576","organic substance biosynthetic process"
"386","GO:0032743","all","all"
"387","GO:0038063","GO:0007154","cell communication"
"388","GO:0038063","GO:0007165","signal transduction"
"389","GO:0038063","GO:0007166","cell surface receptor signaling pathway"
"390","GO:0038063","GO:0007167","enzyme-linked receptor protein signaling pathway"
"391","GO:0038063","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway"
"392","GO:0038063","GO:0008150","biological_process"
"393","GO:0038063","GO:0009987","cellular process"
"394","GO:0038063","GO:0023052","signaling"
"395","GO:0038063","GO:0038065","collagen-activated signaling pathway"
"396","GO:0038063","GO:0050789","regulation of biological process"
"397","GO:0038063","GO:0050794","regulation of cellular process"
"398","GO:0038063","GO:0050896","response to stimulus"
"399","GO:0038063","GO:0051716","cellular response to stimulus"
"400","GO:0038063","GO:0065007","biological regulation"
"401","GO:0038063","all","all"
"402","GO:0010831","GO:0008150","biological_process"
"403","GO:0010831","GO:0009987","cellular process"
"404","GO:0010831","GO:0010830","regulation of myotube differentiation"
"405","GO:0010831","GO:0014902","myotube differentiation"
"406","GO:0010831","GO:0030154","cell differentiation"
"407","GO:0010831","GO:0032502","developmental process"
"408","GO:0010831","GO:0042692","muscle cell differentiation"
"409","GO:0010831","GO:0045595","regulation of cell differentiation"
"410","GO:0010831","GO:0045597","positive regulation of cell differentiation"
"411","GO:0010831","GO:0048518","positive regulation of biological process"
"412","GO:0010831","GO:0048522","positive regulation of cellular process"
"413","GO:0010831","GO:0048856","anatomical structure development"
"414","GO:0010831","GO:0048869","cellular developmental process"
"415","GO:0010831","GO:0050789","regulation of biological process"
"416","GO:0010831","GO:0050793","regulation of developmental process"
"417","GO:0010831","GO:0050794","regulation of cellular process"
"418","GO:0010831","GO:0051094","positive regulation of developmental process"
"419","GO:0010831","GO:0051146","striated muscle cell differentiation"
"420","GO:0010831","GO:0051147","regulation of muscle cell differentiation"
"421","GO:0010831","GO:0051149","positive regulation of muscle cell differentiation"
"422","GO:0010831","GO:0051153","regulation of striated muscle cell differentiation"
"423","GO:0010831","GO:0051155","positive regulation of striated muscle cell differentiation"
"424","GO:0010831","GO:0061061","muscle structure development"
"425","GO:0010831","GO:0065007","biological regulation"
"426","GO:0010831","all","all"
"427","GO:0106072","GO:0007154","cell communication"
"428","GO:0106072","GO:0007165","signal transduction"
"429","GO:0106072","GO:0007186","G protein-coupled receptor signaling pathway"
"430","GO:0106072","GO:0007188","adenylate cyclase-modulating G protein-coupled receptor signaling pathway"
"431","GO:0106072","GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway"
"432","GO:0106072","GO:0008150","biological_process"
"433","GO:0106072","GO:0008277","regulation of G protein-coupled receptor signaling pathway"
"434","GO:0106072","GO:0009966","regulation of signal transduction"
"435","GO:0106072","GO:0009968","negative regulation of signal transduction"
"436","GO:0106072","GO:0009987","cellular process"
"437","GO:0106072","GO:0010646","regulation of cell communication"
"438","GO:0106072","GO:0010648","negative regulation of cell communication"
"439","GO:0106072","GO:0023051","regulation of signaling"
"440","GO:0106072","GO:0023052","signaling"
"441","GO:0106072","GO:0023057","negative regulation of signaling"
"442","GO:0106072","GO:0045744","negative regulation of G protein-coupled receptor signaling pathway"
"443","GO:0106072","GO:0048519","negative regulation of biological process"
"444","GO:0106072","GO:0048523","negative regulation of cellular process"
"445","GO:0106072","GO:0048583","regulation of response to stimulus"
"446","GO:0106072","GO:0048585","negative regulation of response to stimulus"
"447","GO:0106072","GO:0050789","regulation of biological process"
"448","GO:0106072","GO:0050794","regulation of cellular process"
"449","GO:0106072","GO:0050896","response to stimulus"
"450","GO:0106072","GO:0051716","cellular response to stimulus"
"451","GO:0106072","GO:0065007","biological regulation"
"452","GO:0106072","GO:0106070","regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway"
"453","GO:0106072","all","all"
"454","GO:0070979","GO:0000209","protein polyubiquitination"
"455","GO:0070979","GO:0006807","nitrogen compound metabolic process"
"456","GO:0070979","GO:0008150","biological_process"
"457","GO:0070979","GO:0008152","metabolic process"
"458","GO:0070979","GO:0016567","protein ubiquitination"
"459","GO:0070979","GO:0019538","protein metabolic process"
"460","GO:0070979","GO:0032446","protein modification by small protein conjugation"
"461","GO:0070979","GO:0036211","protein modification process"
"462","GO:0070979","GO:0043170","macromolecule metabolic process"
"463","GO:0070979","GO:0043412","macromolecule modification"
"464","GO:0070979","GO:0043687","post-translational protein modification"
"465","GO:0070979","GO:0044238","primary metabolic process"
"466","GO:0070979","GO:0070647","protein modification by small protein conjugation or removal"
"467","GO:0070979","GO:0071704","organic substance metabolic process"
"468","GO:0070979","GO:1901564","organonitrogen compound metabolic process"
"469","GO:0070979","all","all"
"470","GO:0099151","GO:0006996","organelle organization"
"471","GO:0099151","GO:0007275","multicellular organism development"
"472","GO:0099151","GO:0007399","nervous system development"
"473","GO:0099151","GO:0007416","synapse assembly"
"474","GO:0099151","GO:0008150","biological_process"
"475","GO:0099151","GO:0009987","cellular process"
"476","GO:0099151","GO:0016043","cellular component organization"
"477","GO:0099151","GO:0022607","cellular component assembly"
"478","GO:0099151","GO:0032501","multicellular organismal process"
"479","GO:0099151","GO:0032502","developmental process"
"480","GO:0099151","GO:0033043","regulation of organelle organization"
"481","GO:0099151","GO:0034329","cell junction assembly"
"482","GO:0099151","GO:0034330","cell junction organization"
"483","GO:0099151","GO:0044085","cellular component biogenesis"
"484","GO:0099151","GO:0044087","regulation of cellular component biogenesis"
"485","GO:0099151","GO:0048731","system development"
"486","GO:0099151","GO:0048856","anatomical structure development"
"487","GO:0099151","GO:0050789","regulation of biological process"
"488","GO:0099151","GO:0050794","regulation of cellular process"
"489","GO:0099151","GO:0050803","regulation of synapse structure or activity"
"490","GO:0099151","GO:0050807","regulation of synapse organization"
"491","GO:0099151","GO:0050808","synapse organization"
"492","GO:0099151","GO:0051128","regulation of cellular component organization"
"493","GO:0099151","GO:0051963","regulation of synapse assembly"
"494","GO:0099151","GO:0065007","biological regulation"
"495","GO:0099151","GO:0065008","regulation of biological quality"
"496","GO:0099151","GO:0070925","organelle assembly"
