chr,start,end,windows,size,mean_lassi,max_lassi,gene_name,ensembl_id
E3,1883387,2430306,14,546919,67.37296429,83.5317,NUDT1,LFNG,EIF3B,IQCE,BRAT1,AMZ1,MAD1L1,SNX8,TTYH3,GNA12,ENSFCAG00000024756,ENSFCAG00000005390,ENSFCAG00000022239,ENSFCAG00000008558,ENSFCAG00000005392,ENSFCAG00000025518,ENSFCAG00000025676,ENSFCAG00000031391,ENSFCAG00000008559,ENSFCAG00000005389,ENSFCAG00000005391,ENSFCAG00000022890,ENSFCAG00000043446
E3,3118303,3193668,1,75365,57.2894,57.2894,,ENSFCAG00000044837
E3,3257673,3697434,22,439761,80.25506364,114.91,,ENSFCAG00000012315
E3,13174272,13246781,1,72509,59.3334,59.3334,AUTS2,ENSFCAG00000015412
E3,13621285,13782377,5,161092,67.3131,79.1059,AUTS2,ENSFCAG00000015412
E3,22378891,22723537,12,344646,92.82335,133.224,GSG1L,KIAA0556,ENSFCAG00000024353,ENSFCAG00000009928
E3,23344572,23772003,20,427431,121.98188,162.1,,
E3,23799517,23951272,8,151755,66.0075,78.0462,HS3ST4,ENSFCAG00000022747
E3,24215827,24355219,3,139392,79.04716667,97.0135,HS3ST4,ENSFCAG00000022747
E3,24908792,25001647,1,92855,62.0262,62.0262,TNRC6A,ENSFCAG00000025236
E3,25154712,25289264,2,134552,63.5408,64.2549,RBBP6,CACNG3,ENSFCAG00000043694,ENSFCAG00000011087
F1,3443937,3571139,3,127202,63.69613333,68.0245,,ENSFCAG00000023988
F1,20121628,20750209,57,628581,251.2241228,339.475,PAPPA2,COP1,ASTN1,ENSFCAG00000006472,ENSFCAG00000014440,ENSFCAG00000006473
F1,43828632,44176963,15,348331,88.02198667,126.449,CHIT1,BTG2,OPTC,ADORA1,CHI3L1,FMOD,PRELP,ATP2B4,ENSFCAG00000013111,ENSFCAG00000036418,ENSFCAG00000043254,ENSFCAG00000013116,ENSFCAG00000013109,ENSFCAG00000038254,ENSFCAG00000031151,ENSFCAG00000025207,ENSFCAG00000000870
F1,55270802,55370350,2,99548,67.05655,67.8746,KCTD3,ENSFCAG00000008637
F1,55458193,55515082,1,56889,57.1307,57.1307,USH2A,ENSFCAG00000026360
F1,60615917,60937192,15,321275,74.55436667,94.221,DUSP10,ENSFCAG00000015180
F1,62556719,62638531,3,81812,60.11186667,63.1371,LMX1A,ENSFCAG00000010758
F2,9741348,9779117,1,37769,58.0862,58.0862,XKR4,ENSFCAG00000008909
F2,9835440,9943395,2,107955,59.0134,60.8773,XKR4,ENSFCAG00000008909
F2,38525344,38741885,5,216541,71.23314,78.155,,
F2,49166616,49266152,2,99536,65.4054,69.517,,ENSFCAG00000033189
F2,49778907,49844621,1,65714,58.5006,58.5006,NCALD,ENSFCAG00000026528
