chr	start	end	nSNPs	pos	lc_nhaps	lc_uhaps	lc_h12	lc_h2h1	lc_m	lc_A	lc_L
A1	19023130	19118436	101	19070783.5	4	4	0.375	0.75	4	7645.89	2.49258
A1	19118436	19287716	101	19203076.5	2	2	1	0.5	2	2878.36	3.06236
A1	19255174	19381948	101	19318561.5	20	20	0.055	0.95	0	0	0
A1	19287716	19481431	101	19384574	28	28	0.0382653	0.964286	0	0	0
A1	19381948	19545607	101	19463778	6	6	0.222222	0.833333	6	4375.03	1.57558
A1	19481431	19575814	101	19528623	6	6	0.222222	0.833333	6	1245.87	1.57558
A1	19545607	19604740	101	19575174	10	10	0.12	0.9	6	1.76799e+08	0.0899431
A1	19575814	19624732	101	19600273.5	10	10	0.12	0.9	0	0	0
A1	19604740	19658381	101	19631561	34	31	0.0415225	0.9	0	0	0
A1	19624732	19707179	101	19665956	6	6	0.222222	0.833333	6	3805.12	1.57777
A1	19658381	19720553	101	19689467.5	6	5	0.333333	0.5	5	7645.89	3.16724
A1	19707179	19784518	101	19745849	14	14	0.0816327	0.928571	8	1.76799e+08	0.0198286
A1	19720553	19876431	101	19798492.5	2	2	1	0.5	2	1432.47	3.06236
A1	19784518	19935633	101	19860076	8	8	0.15625	0.875	7	10107.7	0.876676
A1	19876431	20035510	101	19955971	16	16	0.0703125	0.9375	0	0	0
A1	19935633	20139594	101	20037614	14	14	0.0816327	0.928571	0	0	0
A1	20035510	20195976	101	20115743.5	32	32	0.0332031	0.96875	0	0	0
A1	20139594	20276133	101	20207864	28	28	0.0382653	0.964286	0	0	0
A1	20195976	20375513	101	20285745	8	8	0.15625	0.875	7	1893.69	0.875834
A1	20276133	20436225	101	20356179.5	6	6	0.222222	0.833333	6	1893.69	1.57558
A1	20375513	20462006	101	20418760	12	12	0.0972222	0.916667	0	0	0
A1	20436225	20517025	101	20476625.5	16	16	0.0703125	0.9375	0	0	0
A1	20462006	20562239	101	20512123	16	16	0.0703125	0.9375	0	0	0
A1	20517025	20624353	101	20570689.5	16	16	0.0703125	0.9375	0	0	0
A1	20562239	20708934	101	20635587	2	2	1	0.5	2	2177.32	3.06236
A1	20624353	20758744	101	20691549	4	4	0.375	0.75	4	11621.5	2.50116
A1	20708934	20872742	101	20790838.5	22	22	0.0495868	0.954545	0	0	0
A1	20758744	20974524	101	20866634.5	6	6	0.222222	0.833333	6	2177.32	1.57558
A1	20872742	21086023	101	20979383	10	10	0.12	0.9	8	1.76799e+08	0.180945
A1	20974524	21178875	101	21076700	8	8	0.15625	0.875	7	2503.42	0.875834
A1	21086023	21332742	101	21209383	2	2	1	0.5	6	1.76799e+08	4.48279
A1	21178875	21421727	101	21300301.5	4	4	0.375	0.75	6	1.76799e+08	4.48367
A1	21332742	21539873	101	21436308	6	6	0.222222	0.833333	6	1893.69	1.57558
A1	21421727	21595984	101	21508856	20	18	0.08	0.653846	7	124642	0.000882507
A1	21539873	21648238	101	21594056	32	27	0.0625	0.804348	3	2177.32	0.96329
A1	21595984	21843332	101	21719658.5	34	33	0.0346021	0.888889	0	0	0
A1	21648238	21946094	101	21797166.5	18	18	0.0617284	0.944444	0	0	0
A1	22087715	22356735	101	22222225.5	22	22	0.0495868	0.954545	0	0	0
