chr	start	end	nSNPs	pos	lp_nhaps	lp_uhaps	lp_h12	lp_h2h1	lp_m	lp_A	lp_L
A1	4523430	4588996	101	4556213.5	2	2	1	0.5	2	1419.5	2.07539
A1	4547861	4662454	101	4605158	4	4	0.375	0.75	4	4984.73	1.4694
A1	4588996	4740771	101	4664884	8	8	0.15625	0.875	7	1.00249e+08	1.30978
A1	4662454	4777183	101	4719819	6	6	0.222222	0.833333	6	1632.1	0.748902
A1	4740771	4808074	101	4774423	2	2	1	0.5	2	11516.3	2.12507
A1	4777183	4835440	101	4806312	2	2	1	0.5	2	15224.3	2.24075
A1	4835440	4962110	101	4898775.5	10	10	0.12	0.9	0	0	0
A1	4962110	5082514	101	5022312.5	2	2	1	0.5	2	15224.3	2.08342
A1	4999064	5194551	101	5096808	2	2	1	0.5	2	35172.9	2.25619
A1	5194551	5320616	101	5257584	2	2	1	0.5	2	26606.3	2.3544
A1	5241684	5358138	101	5299911.5	2	2	1	0.5	7	1.00249e+08	2.46584
A1	5320616	5420405	101	5370511	8	7	0.21875	0.6	7	1.00249e+08	2.61189
A1	5358138	5493360	101	5425749.5	8	7	0.21875	0.6	7	23140.5	0.786649
A1	5420405	5544143	101	5482274.5	6	6	0.222222	0.833333	6	3279.49	0.748902
A1	5493360	5628892	101	5561126.5	18	18	0.0617284	0.944444	0	0	0
A1	5544143	5655201	101	5599672.5	10	8	0.22	0.4375	8	933.899	0.514805
A1	5628892	5680814	101	5654853.5	4	4	0.375	0.75	4	8711.43	1.47539
A1	5655201	5727729	101	5691465.5	2	2	1	0.5	2	812.247	2.07539
A1	5680814	5761177	101	5720996	4	4	0.375	0.75	4	61468.8	2.30189
A1	5727729	5876212	101	5801971	2	2	1	0.5	4	1.00249e+08	7.13478
A1	5761177	5942869	101	5852023.5	4	4	0.375	0.75	6	1.00249e+08	2.97316
A1	5876212	5975098	101	5925655.5	4	3	0.625	0.333333	3	1876.55	2.91321
A1	5942869	6045582	101	5994226	8	7	0.21875	0.6	9	1.00249e+08	1.36506
A1	5975098	6134099	101	6054599	10	9	0.16	0.666667	9	1.00249e+08	1.30985
A1	6045582	6251374	101	6148478.5	2	2	1	0.5	2	8711.43	2.07544
A1	6134099	6311397	101	6222748.5	2	2	1	0.5	2	40440.8	2.32778
A1	6251374	6388407	101	6319891	2	2	1	0.5	2	1.00249e+08	8.29276
A1	6422837	6530685	101	6476761.5	2	2	1	0.5	2	1419.5	2.07539
A1	6479429	6571840	101	6525635	4	4	0.375	0.75	7	1.00249e+08	1.93886
A1	6530685	6600604	101	6565645	8	8	0.15625	0.875	7	1.00249e+08	2.39601
A1	6571840	6623606	101	6597723.5	4	3	0.625	0.333333	3	812.247	2.91321
A1	6600604	6652137	101	6626371	4	4	0.375	0.75	7	1.00249e+08	2.19914
A1	6623606	6714732	101	6669169.5	2	1	1	0	1	1234.59	4.40092
A1	6804272	7067388	101	6935830.5	6	6	0.222222	0.833333	6	1.00249e+08	2.48745
A1	6940936	7119300	101	7030118.5	2	2	1	0.5	6	1.00249e+08	3.18144
A1	7067388	7151316	101	7109352.5	2	2	1	0.5	6	1.00249e+08	2.4881
A1	7177227	7296145	101	7236686.5	2	1	1	0	1	1.00249e+08	11.154
A1	7235566	7372016	101	7303791.5	2	1	1	0	1	1.00249e+08	15.5531
A1	7296145	7441722	101	7368934	2	1	1	0	1	1.00249e+08	15.5562
A1	7372016	7515983	101	7444000	2	1	1	0	1	1.00249e+08	11.1563
A1	7638383	7801945	101	7720164.5	2	2	1	0.5	2	2480.75	2.07539
A1	7744290	7889001	101	7816646	18	10	0.333333	0.257576	4	1.00249e+08	1.44882
A1	7801945	7972370	101	7887158	4	4	0.375	0.75	4	1876.55	1.46939
A1	8035801	8264473	101	8150137.5	2	2	1	0.5	4	1.00249e+08	4.00614
A1	8140866	8373300	101	8257083.5	4	4	0.375	0.75	4	1.00249e+08	3.61178
A1	8373300	8519154	101	8446227.5	2	2	1	0.5	6	1.00249e+08	2.49997
A1	8434111	8559018	101	8496565	2	2	1	0.5	6	1.00249e+08	3.20668
A1	8519154	8602361	101	8560758	6	6	0.222222	0.833333	5	1.00249e+08	3.88806
A1	8559018	8673856	101	8616437.5	4	4	0.375	0.75	6	1.00249e+08	3.19619
A1	8602361	8708585	101	8655473.5	2	2	1	0.5	2	1073.77	2.07539
A1	8673856	8785454	101	8729655.5	2	1	1	0	1	1876.55	4.40092
A1	8785454	8826801	101	8806128	14	9	0.234694	0.466667	9	1.00249e+08	1.59379
A1	8808212	8862885	101	8835549	6	6	0.222222	0.833333	9	1.00249e+08	1.43256
A1	9013152	9081175	101	9047164	8	7	0.21875	0.6	6	1.00249e+08	2.53423
A1	9039699	9155184	101	9097442	4	4	0.375	0.75	6	1.00249e+08	2.53472
A1	9081175	9206835	101	9144005.5	2	2	1	0.5	6	1.00249e+08	4.22613
A1	9155184	9246797	101	9200991	2	2	1	0.5	3	1.00249e+08	7.15567
A1	9438560	9584107	101	9511334	6	3	0.722222	0.111111	3	1.00249e+08	13.2428
A1	9525173	9664801	101	9594987.5	4	1	1	0	3	1.00249e+08	16.1522
A1	9584107	9713876	101	9648992	4	3	0.625	0.333333	3	1.00249e+08	12.6488
A1	9664801	9812626	101	9738714	4	3	0.625	0.333333	3	1.00249e+08	9.28102
A1	9713876	9950172	101	9832024.5	6	5	0.333333	0.5	4	1.00249e+08	5.47255
A1	10085468	10144706	101	10115087.5	2	2	1	0.5	2	933.899	2.07539
A1	10124869	10171057	101	10147963.5	4	4	0.375	0.75	4	7576.65	1.4754
A1	10144706	10258733	101	10201720	10	9	0.16	0.666667	9	3770.67	0.340023
A1	10171057	10367187	101	10269122.5	10	10	0.12	0.9	0	0	0
A1	10258733	10438483	101	10348608.5	8	8	0.15625	0.875	8	2157.6	0.265837
A1	10367187	10551164	101	10459176	10	9	0.16	0.666667	9	1419.5	0.340022
A1	10438483	10584187	101	10511335.5	14	12	0.132653	0.55	0	0	0
A1	10551164	10632927	101	10592046	10	10	0.12	0.9	0	0	0
A1	10584187	10740096	101	10662142	4	4	0.375	0.75	4	6589.7	1.46947
A1	10632927	10797025	101	10714976.5	4	4	0.375	0.75	4	20126.1	1.53889
A1	10740096	10986106	101	10863101.5	2	2	1	0.5	2	26606.3	2.27368
A1	10797025	11027231	101	10912128.5	2	2	1	0.5	2	15224.3	2.12475
A1	10986106	11057732	101	11021919.5	22	18	0.0785124	0.866667	0	0	0
A1	11027231	11106196	101	11066714	20	18	0.08	0.833333	0	0	0
A1	11057732	11150223	101	11103978	4	3	0.625	0.333333	3	1073.77	2.91321
A1	11150223	11398863	101	11274543.5	6	6	0.222222	0.833333	8	1.00249e+08	1.14857
A1	11244652	11438689	101	11341671	8	8	0.15625	0.875	8	23140.5	0.274922
A1	11398863	11479281	101	11439072.5	8	8	0.15625	0.875	8	1632.1	0.265837
A1	11438689	11560134	101	11499412	16	14	0.109375	0.8	0	0	0
A1	11479281	11752150	101	11615716	4	4	0.375	0.75	4	3279.49	1.46939
A1	11752150	12011899	101	11882025	8	8	0.15625	0.875	7	1.00249e+08	1.0851
A1	11886880	12062250	101	11974565.5	6	6	0.222222	0.833333	7	1.00249e+08	1.4278
A1	12011899	12115015	101	12063457.5	4	4	0.375	0.75	7	1.00249e+08	2.54186
A1	12062250	12134907	101	12098579	2	2	1	0.5	4	1.00249e+08	4.925
A1	12115015	12193944	101	12154480	6	4	0.5	0.25	4	1.00249e+08	6.98109
A1	12134907	12299237	101	12217072.5	4	3	0.625	0.333333	3	40440.8	3.36331
A1	12193944	12381576	101	12287760.5	4	3	0.625	0.333333	3	7576.65	2.91327
A1	12299237	12450535	101	12374886.5	14	11	0.173469	0.590909	0	0	0
A1	12381576	12533281	101	12457429	10	9	0.16	0.666667	9	1876.55	0.340022
A1	12450535	12599912	101	12525224	12	10	0.166667	0.75	0	0	0
A1	12533281	12709819	101	12621550.5	16	14	0.109375	0.8	0	0	0
A1	12599912	12863950	101	12731931.5	10	10	0.12	0.9	0	0	0
A1	12709819	12961413	101	12835616.5	6	6	0.222222	0.833333	6	2852.3	0.748902
A1	12961413	13233361	101	13097387.5	4	4	0.375	0.75	4	3770.67	1.46939
A1	13152777	13329877	101	13241327.5	18	16	0.0925926	0.818182	0	0	0
A1	13233361	13445333	101	13339347.5	18	17	0.0740741	0.8	0	0	0
A1	13329877	13508777	101	13419327.5	20	17	0.1	0.678571	0	0	0
A1	13445333	13624503	101	13534918.5	20	18	0.08	0.833333	0	0	0
A1	13508777	13880914	101	13694846	20	17	0.1	0.678571	0	0	0
A1	13624503	13998617	101	13811560.5	4	4	0.375	0.75	4	3279.49	1.46939
A1	13880914	14225037	101	14052976	2	2	1	0.5	2	2852.3	2.07539
A1	13998617	14305377	101	14151997.5	16	14	0.109375	0.8	0	0	0
A1	14225037	14416042	101	14320540	10	10	0.12	0.9	0	0	0
A1	14305377	14524641	101	14415009.5	10	10	0.12	0.9	0	0	0
A1	14416042	14635672	101	14525857.5	14	14	0.0816327	0.928571	0	0	0
A1	14524641	14675951	101	14600296.5	16	16	0.0703125	0.9375	0	0	0
A1	14635672	14707052	101	14671362.5	22	21	0.0578512	0.833333	0	0	0
A1	14675951	14753472	101	14714712	20	16	0.125	0.375	0	0	0
A1	14707052	14807300	101	14757176.5	14	10	0.22449	0.264706	0	0	0
A1	14753472	14860908	101	14807190.5	14	12	0.132653	0.55	0	0	0
A1	14807300	14937523	101	14872412	16	14	0.109375	0.590909	0	0	0
A1	14860908	14982469	101	14921689	14	11	0.173469	0.384615	0	0	0
A1	14937523	15071292	101	15004408	16	14	0.109375	0.8	0	0	0
A1	14982469	15196451	101	15089460.5	6	6	0.222222	0.833333	6	5731.31	0.748902
A1	15071292	15247839	101	15159566	6	5	0.333333	0.5	5	2157.6	1.64183
A1	15196451	15318358	101	15257405	20	15	0.13	0.555556	0	0	0
A1	15247839	15388908	101	15318374	16	14	0.109375	0.590909	0	0	0
A1	15318358	15534091	101	15426225	2	2	1	0.5	2	2852.3	2.07539
A1	15388908	15803877	101	15596393	2	1	1	0	1	4335.41	4.40092
A1	15534091	16008226	101	15771159	8	5	0.4375	0.4375	5	10016.2	2.43123
A1	15803877	16144913	101	15974395.5	14	13	0.102041	0.75	0	0	0
A1	16008226	16263503	101	16135865	4	4	0.375	0.75	4	2852.3	1.46939
A1	16144913	16320526	101	16232720	8	7	0.21875	0.6	7	13241.1	0.720565
A1	16263503	16487657	101	16375580.5	18	15	0.117284	0.653846	0	0	0
A1	16320526	16546557	101	16433542	18	15	0.117284	0.653846	0	0	0
A1	16487657	16606896	101	16547277	10	8	0.22	0.714286	8	15224.3	0.456604
A1	16546557	16665228	101	16605893	6	4	0.5	0.6	4	1234.59	2.54217
A1	16606896	16687699	101	16647298	14	8	0.244898	0.5	8	2852.3	0.763707
A1	16665228	16728474	101	16696851.5	14	10	0.183673	0.625	0	0	0
A1	16687699	16747610	101	16717655	14	9	0.234694	0.466667	9	614.419	0.649184
A1	16728474	16774586	101	16751530.5	20	10	0.215	0.553571	0	0	0
A1	16747610	16867362	101	16807486.5	10	10	0.12	0.9	0	0	0
A1	16774586	16953166	101	16863876.5	10	10	0.12	0.9	0	0	0
A1	16867362	17003506	101	16935434.5	12	7	0.375	0.264706	7	1876.55	1.52062
A1	16953166	17043950	101	16998558.5	16	9	0.242188	0.404762	9	10016.2	0.773766
A1	17003506	17171168	101	17087337.5	12	11	0.125	0.714286	0	0	0
A1	17043950	17241801	101	17142876	12	11	0.125	0.714286	0	0	0
A1	17171168	17257909	101	17214539	18	13	0.154321	0.529412	0	0	0
A1	17241801	17284301	101	17263051.5	16	8	0.25	0.6	8	10016.2	0.876121
A1	17257909	17316174	101	17287042	18	8	0.345679	0.596774	8	17504.4	1.24926
A1	17284301	17362192	101	17323247	14	9	0.285714	0.181818	9	23140.5	0.957956
A1	17316174	17403507	101	17359841	8	7	0.21875	0.6	7	1073.77	0.720484
A1	17362192	17432410	101	17397301.5	8	7	0.21875	0.6	7	812.247	0.720484
A1	17403507	17447269	101	17425388.5	16	12	0.148438	0.653846	0	0	0
A1	17432410	17472279	101	17452345	10	7	0.3	0.5	7	706.442	1.06286
A1	17447269	17527846	101	17487558	4	4	0.375	0.75	4	933.899	1.46939
A1	17472279	17568455	101	17520367.5	14	12	0.132653	0.777778	0	0	0
A1	17527846	17619141	101	17573494	16	13	0.140625	0.625	0	0	0
A1	17568455	17680023	101	17624239.5	14	14	0.0816327	0.928571	0	0	0
A1	17619141	17715700	101	17667421	2	2	1	0.5	2	1234.59	2.07539
A1	17680023	17760402	101	17720213	2	2	1	0.5	2	812.247	2.07539
A1	17715700	17783361	101	17749531	22	15	0.140496	0.479167	0	0	0
A1	17760402	17870880	101	17815641.5	8	6	0.3125	0.357143	6	4984.73	1.4447
A1	17783361	17958297	101	17870829.5	8	6	0.3125	0.357143	6	11516.3	1.44927
A1	17870880	18045009	101	17957945	16	14	0.109375	0.8	0	0	0
A1	17958297	18167358	101	18062828	4	4	0.375	0.75	4	8711.43	1.46944
A1	18045009	18238109	101	18141559.5	4	4	0.375	0.75	4	30591.1	1.53854
A1	18167358	18327598	101	18247478.5	6	5	0.333333	0.5	5	1419.5	1.64183
A1	18238109	18365010	101	18301560	12	11	0.125	0.714286	0	0	0
A1	18327598	18397852	101	18362725.5	14	12	0.132653	0.55	0	0	0
A1	18365010	18452303	101	18408657	12	9	0.222222	0.55	9	3770.67	0.501416
A1	18397852	18487091	101	18442472	6	4	0.5	0.6	4	933.899	2.54217
A1	18452303	18554009	101	18503156.5	6	5	0.333333	0.5	5	20126.1	1.68283
A1	18487091	18673247	101	18580169.5	2	2	1	0.5	5	1.00249e+08	5.52755
A1	18554009	18759158	101	18656584	6	6	0.222222	0.833333	5	1.00249e+08	3.66543
A1	18673247	18867978	101	18770613	4	2	1	0.1	2	2852.3	4.73006
A1	18759158	18976489	101	18867824	6	4	0.5	0.25	4	61468.8	3.18866
A1	19085022	19305222	101	19195122.5	14	14	0.0816327	0.928571	0	0	0
A1	19269416	19409999	101	19339708	10	10	0.12	0.9	0	0	0
A1	19305222	19475904	101	19390563.5	12	11	0.125	0.714286	0	0	0
A1	19409999	19497668	101	19453834	14	8	0.357143	0.375	8	4984.73	0.885615
A1	19475904	19529678	101	19502791.5	10	7	0.3	0.272727	7	23140.5	1.26923
A1	19497668	19605840	101	19551754.5	6	6	0.222222	0.833333	6	35172.9	0.932694
A1	19529678	19697405	101	19613542	2	1	1	0	1	1632.1	4.40092
A1	19605840	19808365	101	19707103	2	1	1	0	1	2157.6	4.40092
A1	19697405	19894302	101	19795854	6	6	0.222222	0.833333	6	1.00249e+08	2.84495
A1	19808365	20125014	101	19966690	4	4	0.375	0.75	5	1.00249e+08	3.56814
A1	19894302	20195509	101	20044906	2	2	1	0.5	5	1.00249e+08	3.57017
A1	20125014	20274556	101	20199785.5	6	3	0.722222	0.357143	3	1.00249e+08	11.7701
A1	20195509	20356497	101	20276003.5	4	3	0.625	0.333333	3	81260.3	4.32223
A1	20274556	20380760	101	20327658.5	4	3	0.625	0.333333	3	11516.3	2.92396
A1	20356497	20438618	101	20397558	10	8	0.22	0.4375	8	1.00249e+08	1.7558
A1	20380760	20472815	101	20426788	8	8	0.15625	0.875	8	1.00249e+08	2.20623
A1	20438618	20558201	101	20498410	8	8	0.15625	0.875	8	1.00249e+08	1.74522
A1	20472815	20651594	101	20562205	10	8	0.22	0.714286	8	1.00249e+08	1.41595
A1	20558201	20764388	101	20661295	4	4	0.375	0.75	4	2480.75	1.46939
A1	20764388	20888882	101	20826635.5	2	2	1	0.5	2	2852.3	2.07539
A1	20841310	21032727	101	20937019	8	8	0.15625	0.875	8	1.00249e+08	0.839659
A1	21032727	21274944	101	21153836	8	7	0.21875	0.6	8	1.00249e+08	0.92028
A1	21157572	21367591	101	21262582	8	8	0.15625	0.875	8	1.00249e+08	0.917494
A1	21274944	21503616	101	21389280.5	6	6	0.222222	0.833333	6	6589.7	0.748902
A1	21367591	21645916	101	21506754	2	2	1	0.5	2	3279.49	2.07539
A1	21503616	21812600	101	21658108.5	6	6	0.222222	0.833333	6	1.00249e+08	2.01903
A1	21645916	21931999	101	21788958	6	6	0.222222	0.833333	6	1.00249e+08	2.01902
A1	21812600	22072900	101	21942750.5	2	2	1	0.5	6	1.00249e+08	2.2715
A1	21931999	22208210	101	22070105	4	3	0.625	0.333333	3	3279.49	2.91321
A1	22072900	22306890	101	22189895.5	10	8	0.22	0.4375	8	3279.49	0.514805
A1	22208210	22394811	101	22301511	20	13	0.195	0.333333	0	0	0
A1	22306890	22460974	101	22383932.5	16	12	0.179688	0.305556	0	0	0
A1	22394811	22594709	101	22494760.5	16	13	0.140625	0.625	0	0	0
A1	22460974	22725688	101	22593331.5	20	18	0.08	0.653846	0	0	0
A1	22594709	22918206	101	22756458	10	9	0.16	0.666667	9	4335.41	0.340022
A1	22725688	23159764	101	22942726.5	4	4	0.375	0.75	4	15224.3	1.46941
A1	22918206	23274117	101	23096162	4	4	0.375	0.75	4	7576.65	1.46939
A1	23159764	23378861	101	23269313	14	10	0.22449	0.653846	0	0	0
A1	23274117	23422456	101	23348287	16	13	0.117188	0.818182	0	0	0
A1	23378861	23453560	101	23416211	20	16	0.09	0.857143	0	0	0
A1	23422456	23506978	101	23464717.5	18	15	0.117284	0.653846	0	0	0
A1	23453560	23563015	101	23508288	18	16	0.0925926	0.625	0	0	0
A1	23506978	23583157	101	23545068	22	15	0.165289	0.666667	0	0	0
A1	23563015	23689313	101	23626164.5	10	9	0.16	0.666667	9	4984.73	0.340023
A1	23583157	23797021	101	23690089.5	10	9	0.16	0.666667	9	2157.6	0.340022
A1	23689313	23831885	101	23760599.5	14	12	0.132653	0.777778	0	0	0
A1	23797021	23885874	101	23841448	14	12	0.132653	0.777778	0	0	0
A1	23831885	23915565	101	23873725.5	18	12	0.191358	0.404762	0	0	0
A1	23885874	23958418	101	23922146.5	22	12	0.206612	0.319444	0	0	0
A1	23915565	23998194	101	23956880	22	13	0.202479	0.419355	0	0	0
A1	23958418	24103282	101	24030850.5	10	10	0.12	0.9	0	0	0
A1	23998194	24144069	101	24071132	4	4	0.375	0.75	4	1073.77	1.46939
A1	24144069	24244665	101	24194367.5	4	3	0.625	0.333333	6	1.00249e+08	3.16384
A1	24163348	24326815	101	24245082	6	6	0.222222	0.833333	5	1.00249e+08	4.13817
A1	24244665	24399932	101	24322299	4	4	0.375	0.75	6	1.00249e+08	3.91174
A1	24326815	24430664	101	24378740	4	4	0.375	0.75	9	1.00249e+08	1.56816
A1	24399932	24485839	101	24442886	6	6	0.222222	0.833333	6	706.442	0.748902
A1	24430664	24502730	101	24466697.5	10	9	0.16	0.666667	9	20126.1	0.422949
A1	24485839	24539132	101	24512486	8	7	0.21875	0.6	7	8711.43	0.754604
A1	24502730	24561993	101	24532362	6	6	0.222222	0.833333	6	3279.49	0.748959
A1	24539132	24611724	101	24575428.5	16	13	0.140625	0.625	0	0	0
A1	24561993	24710889	101	24636441.5	20	16	0.105	0.7	0	0	0
A1	24611724	24768263	101	24689994	16	12	0.148438	0.653846	0	0	0
A1	24710889	24876700	101	24793795	4	3	0.625	0.333333	3	1632.1	2.91321
A1	24768263	24940164	101	24854214	6	5	0.333333	0.5	5	30591.1	1.7754
A1	24876700	25074545	101	24975623	6	6	0.222222	0.833333	6	1.00249e+08	2.87583
A1	24940164	25157995	101	25049080	2	2	1	0.5	6	1.00249e+08	2.87526
A1	25349508	25494038	101	25421773.5	2	2	1	0.5	2	11516.3	2.07539
A1	25685168	25954973	101	25820071	8	8	0.15625	0.875	9	1.00249e+08	1.06986
A1	25838413	25998249	101	25918331.5	10	9	0.16	0.666667	9	1.00249e+08	1.07014
A1	25954973	26122750	101	26038862	8	7	0.21875	0.6	9	1.00249e+08	1.32568
A1	25998249	26212770	101	26105510	4	3	0.625	0.333333	3	1632.1	2.91321
A1	26122750	26399316	101	26261033.5	8	7	0.21875	0.6	7	2480.75	0.720484
A1	26212770	26497150	101	26354960.5	12	12	0.0972222	0.916667	0	0	0
A1	26399316	26564552	101	26481934.5	12	12	0.0972222	0.916667	0	0	0
A1	26497150	26636748	101	26566949.5	12	9	0.222222	0.55	9	4335.41	0.501404
A1	26564552	26708113	101	26636333	6	5	0.333333	0.5	5	1876.55	1.64183
A1	26636748	26845978	101	26741363.5	8	7	0.21875	0.6	7	8711.43	0.720485
A1	26708113	27040227	101	26874170.5	14	13	0.102041	0.75	0	0	0
A1	26845978	27135469	101	26990724	12	10	0.166667	0.5	0	0	0
A1	27040227	27238011	101	27139119.5	2	2	1	0.5	2	20126.1	2.08834
A1	27135469	27317303	101	27226386.5	2	2	1	0.5	2	35172.9	2.13474
A1	27238011	27460820	101	27349416	8	5	0.4375	0.4375	4	1.00249e+08	5.96251
A1	27317303	27491047	101	27404175.5	4	3	0.625	0.333333	4	1.00249e+08	5.9631
A1	27460820	27563502	101	27512161.5	4	4	0.375	0.75	4	1.00249e+08	6.45357
A1	27491047	27666644	101	27578846	4	4	0.375	0.75	4	1.00249e+08	6.45318
A1	27816520	28231174	101	28023847.5	4	4	0.375	0.75	4	5731.31	1.46939
A1	28160628	28322954	101	28241791.5	8	8	0.15625	0.875	8	1632.1	0.265837
A1	28231174	28372924	101	28302049.5	14	10	0.153061	0.818182	0	0	0
A1	28322954	28415588	101	28369271.5	4	3	0.625	0.333333	3	7576.65	2.91518
A1	28372924	28462143	101	28417534	4	3	0.625	0.333333	3	17504.4	2.99722
A1	28415588	28598443	101	28507016	12	9	0.222222	0.55	9	1.00249e+08	1.68835
A1	28462143	28683915	101	28573029.5	8	7	0.21875	0.6	9	1.00249e+08	1.37946
A1	28598443	28948759	101	28773601.5	8	8	0.15625	0.875	8	1.00249e+08	0.917154
A1	28683915	29104347	101	28894131.5	6	6	0.222222	0.833333	6	3279.49	0.748902
A1	28948759	29243392	101	29096076	2	2	1	0.5	2	4984.73	2.07539
A1	29104347	29563733	101	29334040.5	8	7	0.21875	0.6	9	1.00249e+08	0.839453
A1	29243392	29717437	101	29480415	10	9	0.16	0.666667	9	1.00249e+08	1.10852
A1	29928076	30083645	101	30005861	12	9	0.180556	0.777778	9	1632.1	0.432323
A1	29979515	30150199	101	30064857.5	16	14	0.109375	0.8	0	0	0
A1	30083645	30245400	101	30164523	16	11	0.226562	0.529412	0	0	0
A1	30150199	30302394	101	30226297	18	13	0.185185	0.25	0	0	0
A1	30245400	30380378	101	30312889.5	14	11	0.173469	0.384615	0	0	0
A1	30302394	30462992	101	30382693.5	16	14	0.109375	0.590909	0	0	0
A1	30380378	30661700	101	30521039.5	18	17	0.0740741	0.8	0	0	0
A1	30462992	30804300	101	30633646.5	10	9	0.16	0.666667	9	3279.49	0.340022
A1	30661700	30865606	101	30763653.5	6	6	0.222222	0.833333	9	1.00249e+08	0.958
A1	30804300	30933907	101	30869104	8	6	0.3125	0.666667	6	1632.1	1.27189
A1	30865606	30990802	101	30928204.5	20	17	0.1	0.5	0	0	0
A1	30933907	31071380	101	31002644	20	15	0.155	0.578947	0	0	0
A1	30990802	31184985	101	31087894	20	13	0.23	0.234375	0	0	0
A1	31071380	31222601	101	31146991	14	9	0.285714	0.305556	9	1632.1	0.718267
A1	31184985	31518190	101	31351588	8	8	0.15625	0.875	9	1.00249e+08	1.38019
A1	31222601	31641282	101	31431942	4	4	0.375	0.75	4	2157.6	1.46939
A1	31518190	31880948	101	31699569.5	4	4	0.375	0.75	7	1.00249e+08	1.64094
